name,mode,median_sec,min_sec,max_sec,runs,checksum_raw,checksum,vs_c_naive,compute_median_sec,init_median_sec
Spark interpret (own),kernel-only,0.000000000,0.000000000,0.001436250,3,320353.84454998258,320353.84454998258,,0.021824916,0.024182584
Spark interpret (blas),kernel-only,0.001903583,0.001782750,0.011202500,3,320353.84454998258,320353.84454998258,0.344263426,0.025112875,0.022763125
Spark interpret (auto),kernel-only,0.000093459,0.000000000,0.007336166,3,320353.84454998258,320353.84454998258,7.011994169,0.025365208,0.024005375
C (clang -O3 naive),kernel-only,0.000655334,0.000287500,0.001538000,3,320353.84454998356522992,320353.84454998357,1.000000000,0.006724292,0.005892667
C (clang -O3 blocked),kernel-only,0.000295500,0.000000000,0.000969000,3,320353.84454998251749203,320353.84454998252,2.217712305,0.006257000,0.005948208
C (BLAS dgemm),kernel-only,0.005158208,0.003110459,0.005228000,3,320353.84454998356522992,320353.84454998357,0.127046836,0.010155875,0.004997667
Python+NumPy,kernel-only,0.000000000,0.000000000,0.008887167,3,320353.84454998263390735,320353.84454998263,,0.113572000,0.113742541
Java (naive loops),kernel-only,0.008099250,0.000000000,0.011889250,3,320353.84454998357000000,320353.84454998357,0.080912925,0.085078209,0.078982667
Python (naive loops),kernel-only,0.211721083,0.211585291,0.213234625,3,320353.84454998356522992,320353.84454998357,0.003095270,0.238406500,0.025983250
