program,pass,status_ok,equal_output,interpret_status,native_status
bench/programs/phase4/scalar_axpy_int.k,PASS,1,1,0,0
bench/programs/phase4/scalar_bool.k,PASS,1,1,0,0
bench/programs/phase4/scalar_branches.k,PASS,1,1,0,0
bench/programs/phase4/scalar_call_chain.k,PASS,1,1,0,0
bench/programs/phase4/scalar_f64.k,PASS,1,1,0,0
bench/programs/phase4/scalar_for_range.k,PASS,1,1,0,0
bench/programs/phase4/scalar_for_range_branch.k,PASS,1,1,0,0
bench/programs/phase4/scalar_for_range_mul.k,PASS,1,1,0,0
bench/programs/phase4/scalar_functions.k,PASS,1,1,0,0
bench/programs/phase4/scalar_if_chain.k,PASS,1,1,0,0
bench/programs/phase4/scalar_if_else.k,PASS,1,1,0,0
bench/programs/phase4/scalar_matrix_like_guard.k,PASS,1,1,0,0
bench/programs/phase4/scalar_nested_calls.k,PASS,1,1,0,0
bench/programs/phase4/scalar_parity.k,PASS,1,1,0,0
bench/programs/phase4/scalar_sum.k,PASS,1,1,0,0
bench/programs/phase4/scalar_sum_large.k,PASS,1,1,0,0
bench/programs/phase4/scalar_sum_small.k,PASS,1,1,0,0
bench/programs/phase4/scalar_while_branch.k,PASS,1,1,0,0
bench/programs/phase4/scalar_while_decr.k,PASS,1,1,0,0
bench/programs/phase4/scalar_while_if.k,PASS,1,1,0,0
