requested_backend,effective_backend,status_ok,parse_ok,program_pass,median_time_sec,mean_time_sec,diff,backend_id,own_calls,blas_calls,tile_m,tile_n,tile_k
auto,own,1,1,1,0.01922187500167638,0.019197941600577906,2.9802322387695312e-08,0.0,3.0,0.0,96.0,96.0,96.0
own,own,1,1,1,0.01706854099757038,0.017144533200189473,2.9802322387695312e-08,0.0,3.0,0.0,96.0,96.0,96.0
blas,blas,1,1,1,0.01720095900236629,0.017254266998497768,2.9802322387695312e-08,1.0,0.0,3.0,96.0,96.0,96.0
cuda,blas,1,1,1,0.017471291997935623,0.01753739159903489,2.9802322387695312e-08,1.0,0.0,3.0,96.0,96.0,96.0
rocm_hip,blas,1,1,1,0.017492624989245087,0.017564983386546374,2.9802322387695312e-08,1.0,0.0,3.0,96.0,96.0,96.0
oneapi_sycl,blas,1,1,1,0.017569375020684674,0.017382108204765247,2.9802322387695312e-08,1.0,0.0,3.0,96.0,96.0,96.0
opencl,blas,1,1,1,0.017398583004251122,0.017411775002256036,2.9802322387695312e-08,1.0,0.0,3.0,96.0,96.0,96.0
vulkan_compute,blas,1,1,1,0.017654499999480322,0.01781800840399228,2.9802322387695312e-08,1.0,0.0,3.0,96.0,96.0,96.0
metal,blas,1,1,1,0.017419374984456226,0.017331608396489173,2.9802322387695312e-08,1.0,0.0,3.0,96.0,96.0,96.0
webgpu,blas,1,1,1,0.017303458007518202,0.017200833198148757,2.9802322387695312e-08,1.0,0.0,3.0,96.0,96.0,96.0
