requested_backend_input,requested_backend,effective_backend,status_ok,parse_ok,program_pass,portable_route_ok,median_time_sec,mean_time_sec,diff,backend_id,own_calls,blas_calls,tile_m,tile_n,tile_k
auto,auto,own,1,1,1,1,0.017795041989302263,0.017795041989302263,2.9802322387695312e-08,0.0,3.0,0.0,96.0,96.0,96.0
own,own,own,1,1,1,1,0.015517666994128376,0.015517666994128376,2.9802322387695312e-08,0.0,3.0,0.0,96.0,96.0,96.0
blas,blas,blas,1,1,1,1,0.015841374988667667,0.015841374988667667,2.9802322387695312e-08,1.0,0.0,3.0,96.0,96.0,96.0
cuda,cuda,blas,1,1,1,1,0.016184000007342547,0.016184000007342547,2.9802322387695312e-08,1.0,0.0,3.0,96.0,96.0,96.0
rocm_hip,rocm_hip,blas,1,1,1,1,0.015997791982954368,0.015997791982954368,2.9802322387695312e-08,1.0,0.0,3.0,96.0,96.0,96.0
oneapi_sycl,oneapi_sycl,blas,1,1,1,1,0.01648466699407436,0.01648466699407436,2.9802322387695312e-08,1.0,0.0,3.0,96.0,96.0,96.0
opencl,opencl,blas,1,1,1,1,0.017803832975914702,0.017803832975914702,2.9802322387695312e-08,1.0,0.0,3.0,96.0,96.0,96.0
vulkan_compute,vulkan_compute,blas,1,1,1,1,0.015407416998641565,0.015407416998641565,2.9802322387695312e-08,1.0,0.0,3.0,96.0,96.0,96.0
metal,metal,blas,1,1,1,1,0.016443667002022266,0.016443667002022266,2.9802322387695312e-08,1.0,0.0,3.0,96.0,96.0,96.0
webgpu,webgpu,blas,1,1,1,1,0.01677049999125302,0.01677049999125302,2.9802322387695312e-08,1.0,0.0,3.0,96.0,96.0,96.0
