requested_backend_input,requested_backend,effective_backend,matrix_size,repeats,operation_count,status_ok,parse_ok,program_pass,portable_route_ok,median_time_sec,mean_time_sec,median_gflops,mean_gflops,diff,backend_id,own_calls,blas_calls,tile_m,tile_n,tile_k
auto,auto,blas,1280,3,12582912000.0,1,1,0,0,0.5002152920060325,0.5002152920060325,25.154992662335985,25.154992662335985,0.00090789794921875,1.0,0.0,3.0,64.0,64.0,64.0
own,own,own,1280,3,12582912000.0,1,1,0,0,0.8406512090004981,0.8406512090004981,14.968053177441567,14.968053177441567,0.00090789794921875,0.0,3.0,0.0,64.0,64.0,64.0
blas,blas,blas,1280,3,12582912000.0,1,1,0,0,0.5130382500065025,0.5130382500065025,24.526264854210222,24.526264854210222,0.00090789794921875,1.0,0.0,3.0,64.0,64.0,64.0
cuda,cuda,blas,1280,3,12582912000.0,1,1,0,0,0.49580433301161975,0.49580433301161975,25.378785868144288,25.378785868144288,0.00090789794921875,1.0,0.0,3.0,64.0,64.0,64.0
rocm_hip,rocm_hip,blas,1280,3,12582912000.0,1,1,0,0,0.49511887499829754,0.49511887499829754,25.41392105086534,25.41392105086534,0.00090789794921875,1.0,0.0,3.0,64.0,64.0,64.0
oneapi_sycl,oneapi_sycl,blas,1280,3,12582912000.0,1,1,0,0,0.5375132079934701,0.5375132079934701,23.409493595463164,23.409493595463164,0.00090789794921875,1.0,0.0,3.0,64.0,64.0,64.0
opencl,opencl,blas,1280,3,12582912000.0,1,1,0,0,0.5022037910239305,0.5022037910239305,25.05539031146105,25.05539031146105,0.00090789794921875,1.0,0.0,3.0,64.0,64.0,64.0
vulkan_compute,vulkan_compute,blas,1280,3,12582912000.0,1,1,0,0,0.5343889580108225,0.5343889580108225,23.54635478778955,23.54635478778955,0.00090789794921875,1.0,0.0,3.0,64.0,64.0,64.0
metal,metal,blas,1280,3,12582912000.0,1,1,0,0,0.5030077080009505,0.5030077080009505,25.015346285660144,25.015346285660144,0.00090789794921875,1.0,0.0,3.0,64.0,64.0,64.0
webgpu,webgpu,blas,1280,3,12582912000.0,1,1,0,0,0.5239891669771168,0.5239891669771168,24.01368729164874,24.01368729164874,0.00090789794921875,1.0,0.0,3.0,64.0,64.0,64.0
