requested_backend_input,requested_backend,effective_backend,matrix_size,repeats,operation_count,thread_count,selected_profile,status_ok,parse_ok,program_pass,portable_route_ok,median_time_sec,mean_time_sec,median_gflops,mean_gflops,diff,backend_id,own_calls,blas_calls,tile_m,tile_n,tile_k
auto,auto,own,128,3,12582912.0,1,latency_serial_1t_tile96,1,1,1,1,0.01335316699987743,0.01335316699987743,0.9423166803886673,0.9423166803886673,2.9802322387695312e-08,0.0,3.0,0.0,96.0,96.0,96.0
own,own,own,128,3,12582912.0,1,latency_serial_1t_tile64,1,1,1,1,0.013725166994845495,0.013725166994845495,0.9167766049568308,0.9167766049568308,2.9802322387695312e-08,0.0,3.0,0.0,64.0,64.0,64.0
blas,blas,blas,128,3,12582912.0,1,latency_serial_1t_tile96,1,1,1,1,0.015078791999258101,0.015078791999258101,0.8344774568559006,0.8344774568559006,2.9802322387695312e-08,1.0,0.0,3.0,96.0,96.0,96.0
cuda,cuda,own,128,3,12582912.0,1,latency_serial_1t_tile96,1,1,1,1,0.014045542004168965,0.014045542004168965,0.8958651788777656,0.8958651788777656,2.9802322387695312e-08,0.0,3.0,0.0,96.0,96.0,96.0
rocm_hip,rocm_hip,own,128,3,12582912.0,1,latency_serial_1t_tile96,1,1,1,1,0.014002665993757546,0.014002665993757546,0.8986083082756898,0.8986083082756898,2.9802322387695312e-08,0.0,3.0,0.0,96.0,96.0,96.0
oneapi_sycl,oneapi_sycl,own,128,3,12582912.0,1,throughput_default,1,1,1,1,0.013531791999412235,0.013531791999412235,0.9298777279865482,0.9298777279865482,2.9802322387695312e-08,0.0,3.0,0.0,96.0,96.0,96.0
opencl,opencl,own,128,3,12582912.0,1,latency_serial_1t_tile64,1,1,1,1,0.013952582994534168,0.013952582994534168,0.9018338758442986,0.9018338758442986,2.9802322387695312e-08,0.0,3.0,0.0,64.0,64.0,64.0
vulkan_compute,vulkan_compute,own,128,3,12582912.0,1,latency_serial_1t_tile64,1,1,1,1,0.015331875001720618,0.015331875001720618,0.8207027515282954,0.8207027515282954,2.9802322387695312e-08,0.0,3.0,0.0,64.0,64.0,64.0
metal,metal,own,128,3,12582912.0,1,latency_serial_1t_tile64,1,1,1,1,0.01447487500263378,0.01447487500263378,0.8692933098013262,0.8692933098013262,2.9802322387695312e-08,0.0,3.0,0.0,64.0,64.0,64.0
webgpu,webgpu,own,128,3,12582912.0,1,throughput_default,1,1,1,1,0.015372625006421003,0.015372625006421003,0.8185272193099249,0.8185272193099249,2.9802322387695312e-08,0.0,3.0,0.0,96.0,96.0,96.0
