backend,primitive,op_name,operator,loops,warmup,runs,median_sec,min_sec,max_sec,checksum
interpret,f8,add,+,200000,1,2,0.23277641650020087,0.23197179199996754,0.2335810410004342,-90010.390625
interpret,f8,sub,-,200000,1,2,0.2425828334999096,0.23252783399948385,0.2526378330003354,-23575.78125
interpret,f8,mul,*,200000,1,2,0.23231237449908804,0.23153066599843442,0.23309408299974166,128511.552734375
interpret,f8,div,/,200000,1,2,0.2651267289984389,0.2650566659976903,0.26519679199918755,11510.466796875
interpret,f8,mod,%,200000,1,2,0.2636203749989363,0.2621566249981697,0.2650841249997029,-22617.82421875
interpret,f8,pow,^,200000,1,2,0.2576180830001249,0.25605450000148267,0.25918166599876713,2378340.625
interpret,f16,add,+,200000,1,2,0.27044150000074296,0.23318066700085183,0.3077023330006341,-91172.8863525390625
interpret,f16,sub,-,200000,1,2,0.233638271000018,0.23244041699945228,0.2348361250005837,-23973.5693359375
interpret,f16,mul,*,200000,1,2,0.23249889550061198,0.23246837500119,0.23252941600003396,604260.6781463623046875
interpret,f16,div,/,200000,1,2,0.2628137709980365,0.2615602499972738,0.2640672919987992,-inf
interpret,f16,mod,%,200000,1,2,0.2670232289983687,0.2650992499984568,0.26894720799828065,-20657.4329655170440673828125
interpret,f16,pow,^,200000,1,2,0.2577585415001522,0.2533435830009694,0.26217349999933504,nan
interpret,f32,add,+,200000,1,2,0.23368783350088052,0.2329903749996447,0.23438529200211633,-91151.63541246950626373291015625
interpret,f32,sub,-,200000,1,2,0.23133162499834725,0.22985708299893304,0.23280616699776147,-23987.80844105780124664306640625
interpret,f32,mul,*,200000,1,2,0.2317079794993333,0.22917466700164368,0.23424129199702293,604696.942859800998121500015258789062
interpret,f32,div,/,200000,1,2,0.2624333335006668,0.2616167080013838,0.26324995899994974,-43139.38690234720706939697265625
interpret,f32,mod,%,200000,1,2,0.26933820850172197,0.2651858750032261,0.27349054200021783,-21101.10261301696300506591796875
interpret,f32,pow,^,200000,1,2,0.25542549950114335,0.25456908300111536,0.25628191600117134,1880450529293953.25
interpret,f64,add,+,200000,1,2,0.23282593700059806,0.22877820799840265,0.23687366600279347,-91151.637518405914306640625
interpret,f64,sub,-,200000,1,2,0.23631593749996682,0.23094175000005635,0.2416901249998773,-23987.8065168857574462890625
interpret,f64,mul,*,200000,1,2,0.23524560400073824,0.23463470799833885,0.23585650000313763,604696.894197337329387664794921875
interpret,f64,div,/,200000,1,2,0.26808374999927764,0.26375275000100373,0.27241474999755155,-43139.3904273986263433471322059631348
interpret,f64,mod,%,200000,1,2,0.2642268959989451,0.26234774999829824,0.266106041999592,-21101.10293440520763397216796875
interpret,f64,pow,^,200000,1,2,0.2564446875021531,0.25462325000262354,0.25826612500168267,1880450546524062.75
interpret,f128,add,+,200000,1,2,0.2737920630006556,0.2715935839987651,0.27599054200254614,-91151.637518405914306640625
interpret,f128,sub,-,200000,1,2,0.2734597710004891,0.2733917500008829,0.27352779200009536,-23987.8065168857574462890625
interpret,f128,mul,*,200000,1,2,0.2737925000001269,0.2713965000002645,0.2761884999999893,604696.894197337329387664794921875
interpret,f128,div,/,200000,1,2,0.3168502290009201,0.3157502079993719,0.31795025000246824,-43139.3904273986263433471322059631348
interpret,f128,mod,%,200000,1,2,0.32988981299968145,0.3254680419995566,0.3343115839998063,-21101.10293440520763397216796875
interpret,f128,pow,^,200000,1,2,0.34846202099834045,0.3447321249986999,0.352191916997981,1880450546524062.75
interpret,f256,add,+,200000,1,2,0.272672937500829,0.27252362500075833,0.27282225000089966,-91151.637518405914306640625
interpret,f256,sub,-,200000,1,2,0.27260631199897034,0.272553415998118,0.2726592079998227,-23987.8065168857574462890625
interpret,f256,mul,*,200000,1,2,0.280179062498064,0.27717283299716655,0.2831852919989615,604696.894197337329387664794921875
interpret,f256,div,/,200000,1,2,0.32270195800083457,0.32113350000145147,0.32427041600021766,-43139.3904273986263433471322059631348
interpret,f256,mod,%,200000,1,2,0.33187147900025593,0.33039020800060825,0.3333527499999036,-21101.10293440520763397216796875
interpret,f256,pow,^,200000,1,2,0.34856774999934714,0.3471690420010418,0.34996645799765247,1880450546524062.75
interpret,f512,add,+,200000,1,2,0.2793906454990065,0.27815404099965235,0.28062724999836064,-91151.637518405914306640625
interpret,f512,sub,-,200000,1,2,0.2774553119979828,0.273087082998245,0.28182354099772056,-23987.8065168857574462890625
interpret,f512,mul,*,200000,1,2,0.2876366460004647,0.2867102500022156,0.28856304199871374,604696.894197337329387664794921875
interpret,f512,div,/,200000,1,2,0.3405266665013187,0.33801745800155913,0.34303587500107824,-43139.3904273986263433471322059631348
interpret,f512,mod,%,200000,1,2,0.33246568750109873,0.331908583000768,0.3330227920014295,-21101.10293440520763397216796875
interpret,f512,pow,^,200000,1,2,0.3615500414998678,0.35711445799825015,0.36598562500148546,1880450546524062.75
